"game_id","game_date","season","away_team","home_team","away_score","home_score","y_true_home_win","source_name","source_row_number"
"ARI-20240417-0","2024-04-17",2024,"CHN","ARI",5,3,0,"Retrosheet",265
"LAN-20240417-0","2024-04-17",2024,"WAS","LAN",2,0,0,"Retrosheet",266
"MIA-20240417-0","2024-04-17",2024,"SFN","MIA",3,1,0,"Retrosheet",267
"MIL-20240417-0","2024-04-17",2024,"SDN","MIL",0,1,1,"Retrosheet",268
"NYN-20240417-0","2024-04-17",2024,"PIT","NYN",1,9,1,"Retrosheet",269
"PHI-20240417-0","2024-04-17",2024,"COL","PHI",6,7,1,"Retrosheet",270
"BAL-20240417-0","2024-04-17",2024,"MIN","BAL",2,4,1,"Retrosheet",271
"BOS-20240417-0","2024-04-17",2024,"CLE","BOS",0,2,1,"Retrosheet",272
"CHA-20240417-1","2024-04-17",2024,"KCA","CHA",4,2,0,"Retrosheet",273
"CHA-20240417-2","2024-04-17",2024,"KCA","CHA",1,2,1,"Retrosheet",274
"DET-20240417-0","2024-04-17",2024,"TEX","DET",5,4,0,"Retrosheet",275
"HOU-20240417-0","2024-04-17",2024,"ATL","HOU",5,4,0,"Retrosheet",276
"OAK-20240417-0","2024-04-17",2024,"SLN","OAK",3,6,1,"Retrosheet",277
"SEA-20240417-0","2024-04-17",2024,"CIN","SEA",1,5,1,"Retrosheet",278
"TBA-20240417-0","2024-04-17",2024,"ANA","TBA",5,4,0,"Retrosheet",279
"TOR-20240417-0","2024-04-17",2024,"NYA","TOR",6,4,0,"Retrosheet",280
"SFN-20240418-0","2024-04-18",2024,"ARI","SFN",0,5,1,"Retrosheet",281
"BOS-20240418-0","2024-04-18",2024,"CLE","BOS",5,4,0,"Retrosheet",282
"DET-20240418-0","2024-04-18",2024,"TEX","DET",9,7,0,"Retrosheet",283
"TBA-20240418-0","2024-04-18",2024,"ANA","TBA",1,2,1,"Retrosheet",284
"ATL-20240419-0","2024-04-19",2024,"TEX","ATL",3,8,1,"Retrosheet",285
"CHN-20240419-0","2024-04-19",2024,"MIA","CHN",3,8,1,"Retrosheet",286
"CIN-20240419-0","2024-04-19",2024,"ANA","CIN",1,7,1,"Retrosheet",287
"LAN-20240419-0","2024-04-19",2024,"NYN","LAN",9,4,0,"Retrosheet",288
"PHI-20240419-0","2024-04-19",2024,"CHA","PHI",0,7,1,"Retrosheet",289
"PIT-20240419-0","2024-04-19",2024,"BOS","PIT",8,1,0,"Retrosheet",290
"SDN-20240419-0","2024-04-19",2024,"TOR","SDN",5,1,0,"Retrosheet",291
"SFN-20240419-0","2024-04-19",2024,"ARI","SFN",17,1,0,"Retrosheet",292
"SLN-20240419-0","2024-04-19",2024,"MIL","SLN",2,1,0,"Retrosheet",293
"WAS-20240419-0","2024-04-19",2024,"HOU","WAS",5,3,0,"Retrosheet",294
"CLE-20240419-0","2024-04-19",2024,"OAK","CLE",2,10,1,"Retrosheet",295
"KCA-20240419-0","2024-04-19",2024,"BAL","KCA",4,9,1,"Retrosheet",296
"MIN-20240419-0","2024-04-19",2024,"DET","MIN",5,4,0,"Retrosheet",297
